ID,Image,Orientation,Height (mm),Width (mm),Made On,Title,Medium,Location,Painting Cost,Framed,Framing Cost,List Price,Featured,Status,Exhibited,Sales Channel,Sold On,Sold Price,Bought By
24,/art/24.jpg,Horizontal,310,410,01/08/2024,Lim Jetty Home,Watercolor on Paper,Home,4,FALSE,,45,FALSE,Available,,,,,
25,/art/25.jpg,Horizontal,310,410,02/08/2024,Lush Shophouse,Watercolor on Paper,Home,4,FALSE,,45,FALSE,Available,,,,,
26,/art/26.jpg,Horizontal,380,530,02/08/2024,City of God Temple,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
27,/art/27.jpg,Horizontal,380,530,03/08/2024,Armenian Street,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
28,/art/28.jpg,Horizontal,380,530,04/08/2024,Penang Bay,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
29,/art/29.jpg,Horizontal,380,530,11/08/2024,Petite Pain Bakery,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
30,/art/30.jpg,Horizontal,380,530,14/08/2024,Hall XI,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
31,/art/31.jpg,Horizontal,380,530,17/08/2024,Preflight,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Sold,,,,,
32,/art/32.jpg,Vertical,530,380,25/08/2024,The Cuauhtémoc,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
33,/art/33.jpg,Horizontal,380,530,31/08/2024,Mapletree in Business,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
34,/art/34.jpg,Horizontal,380,530,01/09/2024,Supertrees,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
35,/art/35.jpg,Horizontal,380,530,24/09/2024,Tranquil Lake,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
36,/art/36.jpg,Horizontal,380,530,24/09/2024,Dancing Lillies,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
37,/art/37.jpg,Horizontal,380,530,30/09/2024,Boathouse,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
38,/art/38.jpg,Horizontal,380,530,12/10/2024,Epiphany,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
39,/art/39.jpg,Horizontal,380,530,21/10/2024,Starboard,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
40,/art/40.jpg,Horizontal,380,530,02/11/2024,Morning Shuffle,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
41,/art/41.jpg,Horizontal,380,530,09/11/2024,Maywell Living,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
42,/art/42.jpg,Horizontal,380,530,24/11/2024,Painting Flatiron House,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
43,/art/43.jpg,Horizontal,380,530,30/11/2024,Thai Embassy,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
44,/art/44.jpg,Horizontal,380,530,30/11/2024,Swan Lake,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
45,/art/45.jpg,Horizontal,380,530,13/12/2024,West Lake,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
46,/art/46.jpg,Vertical,410,310,15/12/2024,Kungfu by the Pond,Watercolor on Paper,Home,4,FALSE,,45,FALSE,Available,,,,,
47,/art/47.jpg,Horizontal,310,410,19/12/2024,The Wall,Watercolor on Paper,Home,4,FALSE,,45,FALSE,Available,,,,,
48,/art/48.jpg,Vertical,530,380,23/12/2024,St. Joseph's Church,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
49,/art/49.jpg,Horizontal,310,410,28/12/2024,Florentine Myth,Watercolor on Paper,Home,4,FALSE,,45,FALSE,Available,,,,,
50,/art/50.jpg,Vertical,410,310,28/12/2024,Fountain of Light,Watercolor on Paper,Home,4,FALSE,,45,FALSE,Available,,,,,
51,/art/51.jpg,Vertical,410,310,29/12/2024,Pegasus,Watercolor on Paper,Home,4,FALSE,,45,FALSE,Available,,,,,
52,/art/52.jpg,Horizontal,380,530,29/12/2024,Italia,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
53,/art/53.jpg,Horizontal,380,530,30/12/2024,Arno,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
54,/art/54.jpg,Horizontal,380,530,31/12/2024,Boboli gardens,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
